Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,35,,,,35,,1087,,,0
H5,2019,2019,2019,6,1,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,14454509,,,,14454509,,20711447,,,0
H5,2019,2019,2019,6,1,2,Export,31,Azerbaijan,AZE,702,Singapore,SGP,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,240829,,,,240829,,419159,,,0
H5,2019,2019,2019,6,1,2,Export,31,Azerbaijan,AZE,757,Switzerland,CHE,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,2400880,,,,2400880,,3043343,,,0
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,826,United Kingdom,GBR,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,0,,,,0,,79,,,0
H5,2019,2019,2019,6,1,2,Export,31,Azerbaijan,AZE,860,Uzbekistan,UZB,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,11812800,,,,11812800,,17248944,,,0
H5,2019,2019,2019,6,1,1,Import,31,Azerbaijan,AZE,899,"Areas, nes",,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,34,,,,34,,1007,,,0
H5,2019,2019,2019,6,1,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,1,No Quantity,0,,,,,,21,,,6
H5,2019,2019,2019,6,1,1,Import,32,Argentina,ARG,842,USA,USA,,,,,,,,260300,Copper ores and concentrates,1,No Quantity,0,,,,,,21,,,6
H5,2019,2019,2019,6,1,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,41800800,,,,41800800,,59103547,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,1925623480,,,,1925623480,,4310271390,,,0
H5,2019,2019,2019,6,1,1,Import,36,Australia,AUS,100,Bulgaria,BGR,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,520,,,,520,,952,,,0
H5,2019,2019,2019,6,1,1,Import,36,Australia,AUS,152,Chile,CHL,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,41798632,,,,41798632,,59083233,,,0
H5,2019,2019,2019,6,1,2,Export,36,Australia,AUS,156,China,CHN,,,,,,,,260300,Copper ores and concentrates,8,Weight in kilograms,1032608000,,,,1032608000,,1585564428,,,0
