,Reporter Code,Reporter,Partner Code,Partner,Trade Flow,Trade Value (US$),Trade Quantity,NetWeight
0,51,Armenia,0,World,Import,5840,2289,2289.0
1,51,Armenia,0,World,Export,769284972,429420264,429420164.0
2,51,Armenia,36,Australia,Export,10,8,8.0
3,51,Armenia,100,Bulgaria,Export,195554956,116779450,116779450.0
4,51,Armenia,156,China,Export,286159095,167187205,167187105.0
5,51,Armenia,268,Georgia,Export,23,98,98.0
6,51,Armenia,528,Netherlands,Export,38,443,443.0
7,51,Armenia,642,Romania,Export,5,26,26.0
8,51,Armenia,729,Sudan,Import,2548,49,49.0
9,51,Armenia,757,Switzerland,Export,287570272,145452450,145452450.0
10,51,Armenia,826,United Kingdom,Export,572,583,583.0
11,51,Armenia,899,"Areas, nes",Import,3292,2240,2240.0
12,31,Azerbaijan,0,World,Import,1721,80,80.0
13,31,Azerbaijan,0,World,Export,24737613,15753930,15753930.0
14,31,Azerbaijan,268,Georgia,Import,1013,45,45.0
15,31,Azerbaijan,372,Ireland,Export,280,1225,1225.0
16,31,Azerbaijan,528,Netherlands,Export,80,12,12.0
17,31,Azerbaijan,757,Switzerland,Export,15347169,9037075,9037075.0
18,31,Azerbaijan,792,Turkey,Import,76,19,19.0
19,31,Azerbaijan,792,Turkey,Export,1066056,511698,511698.0
20,31,Azerbaijan,860,Uzbekistan,Import,631,15,15.0
21,31,Azerbaijan,860,Uzbekistan,Export,8324026,6203920,6203920.0
22,36,Australia,0,World,Import,217638777,0,
23,36,Australia,0,World,Export,5778614749,1648649400,1648649400.0
24,36,Australia,100,Bulgaria,Export,41629380,10377300,10377300.0
25,36,Australia,124,Canada,Import,47776379,0,
26,36,Australia,152,Chile,Import,104282369,42465100,42465100.0
27,36,Australia,246,Finland,Export,133154285,36709300,36709300.0
28,36,Australia,398,Kazakhstan,Import,898,920,920.0
29,36,Australia,410,Rep. of Korea,Export,871244445,316852300,316852300.0
30,36,Australia,528,Netherlands,Export,24333633,5510000,5510000.0
31,36,Australia,604,Peru,Import,38595051,20099800,20099800.0
32,36,Australia,699,India,Export,735267244,141444000,141444000.0
33,36,Australia,710,South Africa,Import,26982468,2642050,2642050.0
34,36,Australia,724,Spain,Export,69196943,31313600,31313600.0
35,36,Australia,842,USA,Import,1610,34,34.0
36,36,Australia,899,"Areas, nes",Export,3903788816,1106442900,1106442900.0
37,56,Belgium,0,World,Import,2207502,0,
38,56,Belgium,0,World,Export,168317,41480,41480.0
39,56,Belgium,36,Australia,Import,33,1336,1336.0
40,56,Belgium,76,Brazil,Export,272,12788,12788.0
41,56,Belgium,276,Germany,Import,1877695,207927,207927.0
42,56,Belgium,392,Japan,Export,75804,14143,14143.0
43,56,Belgium,504,Morocco,Export,1,10,10.0
44,56,Belgium,528,Netherlands,Import,23681,4220,4220.0
45,56,Belgium,528,Netherlands,Export,2054,887,887.0
46,56,Belgium,604,Peru,Import,184,3,3.0
47,56,Belgium,616,Poland,Export,90184,13650,13650.0
48,56,Belgium,703,Slovakia,Import,302473,17641,17641.0
49,56,Belgium,757,Switzerland,Import,606,0,
50,56,Belgium,826,United Kingdom,Import,2481,500,500.0
51,56,Belgium,842,USA,Import,345,0,0.0
52,112,Belarus,0,World,Import,4700,3613,3613.0
53,112,Belarus,643,Russian Federation,Import,4700,3613,3613.0
54,68,Bolivia (Plurinational State of),0,World,Import,96,7,7.0
55,68,Bolivia (Plurinational State of),0,World,Export,14904767,10926339,1615753.0
56,68,Bolivia (Plurinational State of),104,Myanmar,Export,15334,23000,1648.0
57,68,Bolivia (Plurinational State of),152,Chile,Import,38,0,1.0
58,68,Bolivia (Plurinational State of),152,Chile,Export,5601547,5210454,601900.0
59,68,Bolivia (Plurinational State of),156,China,Import,58,6,6.0
60,68,Bolivia (Plurinational State of),156,China,Export,4383028,2309170,473793.0
61,68,Bolivia (Plurinational State of),398,Kazakhstan,Export,1864517,2191200,205330.0
62,68,Bolivia (Plurinational State of),604,Peru,Export,3040339,1192515,333080.0
63,854,Burkina Faso,0,World,Import,134,5,5.0
64,854,Burkina Faso,156,China,Import,134,5,5.0
65,124,Canada,0,World,Import,751281449,56311262,56311262.0
66,124,Canada,0,World,Export,4120195660,470466351,470466351.0
67,124,Canada,36,Australia,Import,3550,900,900.0
68,124,Canada,36,Australia,Export,46086805,3773012,3773012.0
69,124,Canada,56,Belgium,Export,8421954,182236,182236.0
70,124,Canada,72,Botswana,Import,51,7,7.0
71,124,Canada,76,Brazil,Import,76,19,19.0
72,124,Canada,100,Bulgaria,Export,79613758,8288170,8288170.0
73,124,Canada,116,Cambodia,Export,4224,9176,9176.0
74,124,Canada,124,Canada,Import,165,39,39.0
75,124,Canada,152,Chile,Import,91842332,10203919,10203919.0
