Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,35,8,kg,35.35,35,0,1087,1087.03,0,0
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,0,World,W00,C20,CPC N.E.S.,0,All MOTs,260300,Copper ores and concentrates,8,kg,35,8,kg,35.35,35,0,1087,1087.03,0,0
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,0,World,W00,C00,All CPCs,1000,Air,260300,Copper ores and concentrates,8,kg,35,8,kg,35.35,35,0,1087,1087.03,0,0
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,0,World,W00,C20,CPC N.E.S.,1000,Air,260300,Copper ores and concentrates,8,kg,35,8,kg,35.35,35,0,1087,1087.03,0,0
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,268,Georgia,GEO,C20,CPC N.E.S.,1000,Air,260300,Copper ores and concentrates,8,kg,19,8,kg,19.25,19,0,329,329.8,0,0
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,528,Netherlands,NLD,C20,CPC N.E.S.,1000,Air,260300,Copper ores and concentrates,8,kg,15,8,kg,15.4,15,0,677,677.86,0,0
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,826,United Kingdom,GBR,C20,CPC N.E.S.,1000,Air,260300,Copper ores and concentrates,8,kg,0,8,kg,0.7,0,0,79,79.37,0,0
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,268,Georgia,GEO,C00,All CPCs,1000,Air,260300,Copper ores and concentrates,8,kg,19,8,kg,19.25,19,0,329,329.8,0,0
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,528,Netherlands,NLD,C00,All CPCs,1000,Air,260300,Copper ores and concentrates,8,kg,15,8,kg,15.4,15,0,677,677.86,0,0
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,826,United Kingdom,GBR,C00,All CPCs,1000,Air,260300,Copper ores and concentrates,8,kg,0,8,kg,0.7,0,0,79,79.37,0,0
