,Exporter Code,Exporter,Importer Code,Importer,Trade Quantity
1,8,"Albania",156,"China",19206600
2,8,"Albania",792,"Turkey",10284547
3,12,"Algeria",156,"China",256318
4,826,"United Kingdom",24,"Angola",1
5,32,"Argentina",100,"Bulgaria",23540982
6,32,"Argentina",152,"Chile",10126472
7,32,"Argentina",276,"Germany",200007380
8,32,"Argentina",392,"Japan",62603653
9,32,"Argentina",410,"Rep. of Korea",114399088
10,32,"Argentina",608,"Philippines",37374344
11,32,"Argentina",724,"Spain",45007064
12,68,"Bolivia (Plurinational State of)",32,"Argentina",2701783
13,51,"Armenia",100,"Bulgaria",59740070
14,51,"Armenia",124,"Canada",37
15,51,"Armenia",156,"China",8022023
16,51,"Armenia",276,"Germany",1
17,51,"Armenia",372,"Ireland",505
18,51,"Armenia",410,"Rep. of Korea",995450
19,51,"Armenia",642,"Romania",429
20,51,"Armenia",643,"Russian Federation",4
21,51,"Armenia",724,"Spain",39949545
22,51,"Armenia",757,"Switzerland",16279710
23,51,"Armenia",826,"United Kingdom",51
24,268,"Georgia",51,"Armenia",37
25,807,"North Macedonia",51,"Armenia",1
26,31,"Azerbaijan",410,"Rep. of Korea",551847
27,31,"Azerbaijan",608,"Philippines",214626
28,36,"Australia",156,"China",608881696
29,36,"Australia",276,"Germany",36120500
30,36,"Australia",360,"Indonesia",10738000
31,36,"Australia",392,"Japan",374051363
32,36,"Australia",410,"Rep. of Korea",228750650
33,36,"Australia",478,"Mauritania",10
34,36,"Australia",484,"Mexico",3003501
35,36,"Australia",604,"Peru",599179
36,36,"Australia",608,"Philippines",29382120
37,36,"Australia",699,"India",565321730
38,36,"Australia",710,"South Africa",610
39,124,"Canada",36,"Australia",1408
40,579,"Norway",36,"Australia",27916
41,643,"Russian Federation",36,"Australia",12690
42,842,"USA",36,"Australia",6616
43,842,"USA",40,"Austria",1453
44,764,"Thailand",50,"Bangladesh",1200
45,56,"Belgium",40,"Austria",24645
46,56,"Belgium",156,"China",1393100
47,56,"Belgium",276,"Germany",418142
48,56,"Belgium",344,"China, Hong Kong SAR",905883
49,56,"Belgium",620,"Portugal",205555
50,56,"Belgium",643,"Russian Federation",626
51,36,"Australia",56,"Belgium",763
52,40,"Austria",56,"Belgium",247047
53,124,"Canada",56,"Belgium",99
54,180,"Dem. Rep. of the Congo",56,"Belgium",4390
55,251,"France",56,"Belgium",23568
56,276,"Germany",56,"Belgium",793527
57,381,"Italy",56,"Belgium",1
58,442,"Luxembourg",56,"Belgium",84707
59,528,"Netherlands",56,"Belgium",183
60,682,"Saudi Arabia",56,"Belgium",12797700
61,710,"South Africa",56,"Belgium",4660517
62,740,"Suriname",56,"Belgium",481520
63,842,"USA",60,"Bermuda",17
64,699,"India",64,"Bhutan",425
65,68,"Bolivia (Plurinational State of)",152,"Chile",1239585
66,68,"Bolivia (Plurinational State of)",381,"Italy",10197
67,68,"Bolivia (Plurinational State of)",604,"Peru",1598370
68,124,"Canada",68,"Bolivia (Plurinational State of)",1
69,688,"Serbia",70,"Bosnia Herzegovina",25020
70,76,"Brazil",100,"Bulgaria",50311
71,76,"Brazil",156,"China",36378514
72,76,"Brazil",276,"Germany",79957219
73,76,"Brazil",344,"China, Hong Kong SAR",101
74,76,"Brazil",410,"Rep. of Korea",37817146
75,76,"Brazil",604,"Peru",1340095
76,76,"Brazil",699,"India",177766
77,76,"Brazil",724,"Spain",70153850
78,76,"Brazil",752,"Sweden",20460778
79,76,"Brazil",858,"Uruguay",1884
80,124,"Canada",76,"Brazil",6360468
81,152,"Chile",76,"Brazil",252215147
82,381,"Italy",76,"Brazil",100
83,604,"Peru",76,"Brazil",24173027
84,620,"Portugal",76,"Brazil",29348900
85,842,"USA",76,"Brazil",9185
86,72,"Botswana",710,"South Africa",18639623
87,710,"South Africa",72,"Botswana",348663
88,826,"United Kingdom",96,"Brunei Darussalam",6
89,100,"Bulgaria",40,"Austria",43340
90,100,"Bulgaria",156,"China",10621879
91,100,"Bulgaria",516,"Namibia",100824656
92,100,"Bulgaria",616,"Poland",68392
93,100,"Bulgaria",642,"Romania",195996
94,100,"Bulgaria",724,"Spain",17280110
95,36,"Australia",100,"Bulgaria",200
96,124,"Canada",100,"Bulgaria",16502019
97,152,"Chile",100,"Bulgaria",17457060
98,268,"Georgia",100,"Bulgaria",70807203
99,276,"Germany",100,"Bulgaria",16033338
100,504,"Morocco",100,"Bulgaria",4438026
101,604,"Peru",100,"Bulgaria",82391572
102,620,"Portugal",100,"Bulgaria",17774592
103,642,"Romania",100,"Bulgaria",9057025
104,724,"Spain",100,"Bulgaria",531033150
105,792,"Turkey",100,"Bulgaria",18305906
106,807,"North Macedonia",100,"Bulgaria",39028040
107,834,"United Rep. of Tanzania",100,"Bulgaria",136501
108,124,"Canada",32,"Argentina",218
109,124,"Canada",140,"Central African Rep.",56
110,124,"Canada",152,"Chile",1222071
111,124,"Canada",156,"China",193167513
112,124,"Canada",214,"Dominican Rep.",1265
113,124,"Canada",246,"Finland",23907545
114,124,"Canada",276,"Germany",40273299
115,124,"Canada",344,"China, Hong Kong SAR",6128
116,124,"Canada",360,"Indonesia",322
117,124,"Canada",392,"Japan",112053394
118,124,"Canada",410,"Rep. of Korea",49777978
119,124,"Canada",484,"Mexico",1458616
120,124,"Canada",598,"Papua New Guinea",3126
121,124,"Canada",604,"Peru",1195214
122,124,"Canada",608,"Philippines",24544330
123,124,"Canada",699,"India",8637993
124,124,"Canada",702,"Singapore",161
125,124,"Canada",710,"South Africa",448
126,124,"Canada",724,"Spain",61502277
127,124,"Canada",752,"Sweden",19289595
128,124,"Canada",826,"United Kingdom",46960
129,124,"Canada",842,"USA",30876554
130,124,"Canada",894,"Zambia",852
131,36,"Australia",124,"Canada",80
132,76,"Brazil",124,"Canada",146
133,100,"Bulgaria",124,"Canada",10
134,152,"Chile",124,"Canada",41948
135,156,"China",124,"Canada",8
136,251,"France",124,"Canada",8
137,276,"Germany",124,"Canada",800
138,418,"Lao People's Dem. Rep.",124,"Canada",9
139,458,"Malaysia",124,"Canada",144
140,604,"Peru",124,"Canada",1866310
141,842,"USA",124,"Canada",14391332
142,702,"Singapore",120,"Cameroon",33
143,152,"Chile",156,"China",942336632
144,152,"Chile",246,"Finland",45601193
145,152,"Chile",276,"Germany",145460197
146,152,"Chile",392,"Japan",628377004
147,152,"Chile",410,"Rep. of Korea",316099938
148,152,"Chile",484,"Mexico",1019238
149,152,"Chile",604,"Peru",7800343
150,152,"Chile",608,"Philippines",51677969
151,152,"Chile",616,"Poland",14511178
152,152,"Chile",699,"India",226048575
153,152,"Chile",724,"Spain",227730471
154,152,"Chile",752,"Sweden",42521270
155,36,"Australia",152,"Chile",25
156,76,"Brazil",152,"Chile",38
157,100,"Bulgaria",152,"Chile",25
158,156,"China",152,"Chile",13
159,276,"Germany",152,"Chile",2306
160,381,"Italy",152,"Chile",1
161,392,"Japan",152,"Chile",148
162,410,"Rep. of Korea",152,"Chile",8
163,484,"Mexico",152,"Chile",4
164,604,"Peru",152,"Chile",170093871
165,724,"Spain",152,"Chile",150
166,752,"Sweden",152,"Chile",9
167,842,"USA",152,"Chile",1611
168,156,"China",360,"Indonesia",44142
169,156,"China",381,"Italy",20000
170,156,"China",392,"Japan",285
171,156,"China",484,"Mexico",21
172,156,"China",699,"India",1000
173,32,"Argentina",156,"China",21345
174,68,"Bolivia (Plurinational State of)",156,"China",2218
175,72,"Botswana",156,"China",26469939
176,104,"Myanmar",156,"China",8796767
177,116,"Cambodia",156,"China",300
178,178,"Congo",156,"China",2640284
179,180,"Dem. Rep. of the Congo",156,"China",22122833
180,214,"Dominican Rep.",156,"China",43771350
181,360,"Indonesia",156,"China",177798033
182,364,"Iran",156,"China",49892753
183,398,"Kazakhstan",156,"China",305295800
184,408,"Dem. People's Rep. of Korea",156,"China",28150288
185,410,"Rep. of Korea",156,"China",21973945
186,417,"Kyrgyzstan",156,"China",447
187,418,"Lao People's Dem. Rep.",156,"China",112824423
188,458,"Malaysia",156,"China",575962
189,478,"Mauritania",156,"China",188307166
190,484,"Mexico",156,"China",424189564
191,496,"Mongolia",156,"China",509475971
192,504,"Morocco",156,"China",2812945
193,512,"Oman",156,"China",40581329
194,516,"Namibia",156,"China",4900320
195,566,"Nigeria",156,"China",187966
196,586,"Pakistan",156,"China",1968387
197,604,"Peru",156,"China",1031228112
198,608,"Philippines",156,"China",182990618
199,620,"Portugal",156,"China",27465584
200,642,"Romania",156,"China",29301145
201,699,"India",156,"China",681586
202,702,"Singapore",156,"China",2537
203,704,"Viet Nam",156,"China",1405310
204,710,"South Africa",156,"China",28137744
205,716,"Zimbabwe",156,"China",855707
206,724,"Spain",156,"China",90556749
207,762,"Tajikistan",156,"China",2336650
208,764,"Thailand",156,"China",2747492
209,792,"Turkey",156,"China",142159826
210,834,"United Rep. of Tanzania",156,"China",2089167
211,842,"USA",156,"China",197936694
212,894,"Zambia",156,"China",14028300
213,344,"China, Hong Kong SAR",156,"China",4222752
214,344,"China, Hong Kong SAR",704,"Viet Nam",1543512
215,344,"China, Hong Kong SAR",764,"Thailand",60000
216,156,"China",344,"China, Hong Kong SAR",2623983
