SN,Exporter Code,Exporter,Importer Code,Importer,Trade Quantity (kg),,,SN,Exporter Code,Exporter,Importer Code,Importer,Trade Quantity (kg)
1,8,Albania,156,China,14918120,,,1,8,Albania,156,China,14918120
2,156,China,32,Argentina,4000,,,2,156,China,32,Argentina,4000
3,51,Armenia,100,Bulgaria,142961400,,,3,51,Armenia,100,Bulgaria,142961400
4,51,Armenia,156,China,304388480,,,4,51,Armenia,156,China,304388480
5,51,Armenia,268,Georgia,13920,,,5,51,Armenia,268,Georgia,13920
6,51,Armenia,528,Netherlands,274,,,6,51,Armenia,528,Netherlands,274
7,51,Armenia,642,Romania,17,,,7,51,Armenia,642,Romania,17
8,51,Armenia,757,Switzerland,196460460,,,8,51,Armenia,757,Switzerland,196460460
9,51,Armenia,826,United Kingdom,955,,,9,51,Armenia,826,United Kingdom,955
10,31,Azerbaijan,372,Ireland,215,,,10,31,Azerbaijan,372,Ireland,215
11,31,Azerbaijan,757,Switzerland,12423200,,,,,,,,
12,31,Azerbaijan,792,Turkey,23800,,,523,894,Zambia,757,Switzerland,56058555
13,31,Azerbaijan,826,United Kingdom,214,,,524,894,Zambia,842,USA,5967540
14,31,Azerbaijan,860,Uzbekistan,6276995,,,525,834,United Rep. of Tanzania,894,Zambia,2188
15,528,Netherlands,31,Azerbaijan,6,,,,,,,,
16,36,Australia,100,Bulgaria,10150000,,,,,,,,
17,36,Australia,156,China,801532410,,,,,,,,
18,36,Australia,276,Germany,13500000,,,,,,,,
19,36,Australia,392,Japan,341317510,,,,,,,,
20,36,Australia,410,Rep. of Korea,161077040,,,,,,,,
21,36,Australia,418,Lao People's Dem. Rep.,2000,,,,,,,,
22,36,Australia,458,Malaysia,9002285,,,,,,,,
23,36,Australia,608,Philippines,41603100,,,,,,,,
24,36,Australia,699,India,34155000,,,,,,,,
25,36,Australia,724,Spain,10557000,,,,,,,,
26,152,Chile,36,Australia,20193434,,,,,,,,
27,604,Peru,36,Australia,9991950,,,,,,,,
28,36,Australia,40,Austria,15,,,,,,,,
29,76,Brazil,40,Austria,1513,,,,,,,,
30,276,Germany,40,Austria,278,,,,,,,,
31,484,Mexico,40,Austria,5,,,,,,,,
32,591,Panama,40,Austria,8,,,,,,,,
33,757,Switzerland,40,Austria,5,,,,,,,,
34,807,North Macedonia,40,Austria,337,,,,,,,,
35,842,USA,40,Austria,36,,,,,,,,
36,56,Belgium,76,Brazil,22099,,,,,,,,
37,56,Belgium,124,Canada,5461,,,,,,,,
38,56,Belgium,152,Chile,3,,,,,,,,
39,56,Belgium,392,Japan,172610,,,,,,,,
40,56,Belgium,528,Netherlands,5675,,,,,,,,
41,36,Australia,56,Belgium,900,,,,,,,,
42,76,Brazil,56,Belgium,5,,,,,,,,
43,246,Finland,56,Belgium,449,,,,,,,,
44,276,Germany,56,Belgium,157459,,,,,,,,
45,528,Netherlands,56,Belgium,1568,,,,,,,,
46,710,South Africa,56,Belgium,37,,,,,,,,
47,792,Turkey,56,Belgium,70,,,,,,,,
48,842,USA,56,Belgium,115525,,,,,,,,
49,68,Bolivia (Plurinational State of),152,Chile,4210552,,,,,,,,
50,68,Bolivia (Plurinational State of),156,China,1646315,,,,,,,,
51,68,Bolivia (Plurinational State of),398,Kazakhstan,479965,,,,,,,,
52,68,Bolivia (Plurinational State of),604,Peru,1711868,,,,,,,,
53,56,Belgium,70,Bosnia Herzegovina,24000,,,,,,,,
54,792,Turkey,70,Bosnia Herzegovina,276,,,,,,,,
55,72,Botswana,124,Canada,415,,,,,,,,
56,72,Botswana,690,Seychelles,161006,,,,,,,,
57,72,Botswana,710,South Africa,2992152,,,,,,,,
58,710,South Africa,72,Botswana,200,,,,,,,,
59,76,Brazil,36,Australia,157,,,,,,,,
60,76,Brazil,100,Bulgaria,37616960,,,,,,,,
61,76,Brazil,124,Canada,6731550,,,,,,,,
62,76,Brazil,152,Chile,9997000,,,,,,,,
63,76,Brazil,156,China,191201134,,,,,,,,
64,76,Brazil,246,Finland,86604876,,,,,,,,
65,76,Brazil,268,Georgia,30287000,,,,,,,,
66,76,Brazil,276,Germany,289583873,,,,,,,,
67,76,Brazil,344,"China, Hong Kong SAR",148110,,,,,,,,
68,76,Brazil,392,Japan,836246,,,,,,,,
69,76,Brazil,410,Rep. of Korea,20486500,,,,,,,,
70,76,Brazil,458,Malaysia,24261066,,,,,,,,
71,76,Brazil,554,New Zealand,12,,,,,,,,
72,76,Brazil,604,Peru,1408933,,,,,,,,
73,76,Brazil,608,Philippines,39217000,,,,,,,,
74,76,Brazil,616,Poland,89872060,,,,,,,,
75,76,Brazil,699,India,11017100,,,,,,,,
76,76,Brazil,710,South Africa,696,,,,,,,,
77,76,Brazil,724,Spain,170591700,,,,,,,,
78,76,Brazil,752,Sweden,53216000,,,,,,,,
79,76,Brazil,826,United Kingdom,10,,,,,,,,
80,76,Brazil,842,USA,18,,,,,,,,
81,152,Chile,76,Brazil,197220290,,,,,,,,
82,528,Netherlands,76,Brazil,173292,,,,,,,,
83,591,Panama,76,Brazil,74309850,,,,,,,,
84,604,Peru,76,Brazil,29847890,,,,,,,,
85,724,Spain,76,Brazil,34,,,,,,,,
86,124,Canada,100,Bulgaria,16136715,,,,,,,,
87,124,Canada,156,China,248240485,,,,,,,,
88,124,Canada,246,Finland,76696774,,,,,,,,
89,124,Canada,276,Germany,42505544,,,,,,,,
90,124,Canada,300,Greece,109866,,,,,,,,
91,124,Canada,381,Italy,22236,,,,,,,,
92,124,Canada,392,Japan,313726556,,,,,,,,
93,124,Canada,410,Rep. of Korea,135120461,,,,,,,,
94,124,Canada,458,Malaysia,72825,,,,,,,,
95,124,Canada,484,Mexico,1866050,,,,,,,,
96,124,Canada,586,Pakistan,8565,,,,,,,,
97,124,Canada,608,Philippines,24770157,,,,,,,,
98,124,Canada,634,Qatar,126,,,,,,,,
99,124,Canada,699,India,29058588,,,,,,,,
100,124,Canada,704,Viet Nam,8169,,,,,,,,
101,124,Canada,724,Spain,12910442,,,,,,,,
